publishedAt,author,content,contentEnglish,createdAt,entities,fromURL,geo,id,image,language,license,lifespan,publishedAt,remoteID,source,summary,tags,updatedAt,video
2014-08-31 07:55:34,"{'name': 'سراج برس - Siraj press', 'username': 'press.siraj', 'remoteID': 'press.siraj'}","#سراج_برس | #Siraj_Press
#درعا  : اليادودة : الطيران المروحي يلقي برميل متفجر على بلدة اليادودة بريف درعا","# Siraj_bars | #Siraj_Press
# Daraa: Yadodeh: helicopters cast explosive barrel on the town of Brive Yadodeh shield",2014-08-31T08:31:02.872842,[],http://facebook.com/460191604107660_561664857293667,{},aOtgQkjMSWe3bI_Pd4NkVw,,"{'name': 'Arabic', 'nativeName': 'العربية', 'code': 'ar'}",facebook,temporary,2014-08-31 07:55:34,460191604107660_561664857293667,facebook,"#سراج_برس | #Siraj_Press
#درعا  : اليادودة : الطيران المروحي يلقي برميل متفجر على بلدة اليادودة ب...","[{'name': 'armed-conflict', 'confidence': 1}, {'name': 'air-combat', 'confidence': 1}, {'name': 'conflict', 'confidence': 1}]",2014-08-31T08:30:16.162931,
2014-08-31 07:19:21,"{'name': 'وكالة شهبا برس الإخبارية', 'username': 'SHahba.P.A', 'remoteID': 'SHahba.P.A'}","#شهبا_برس || حلب 
الطيران المروحي يلقي برميل متفجر على حي مساكن هنانو وآخر على حي الشعار، ولم ترد أنباء عن وقوع إصابات.","# Hhba_bars || Aleppo
Helicopters cast explosive barrel on neighborhood housing Hanano and another neighborhood logo, there were no reports of injuries.",2014-08-31T07:19:51.741996,['Syria'],http://facebook.com/579626995388851_833694813315400,"{'locationIdentifiers': {'authorLocationName': 'سوريا'}, 'addressComponents': {'adminArea1': 'Syria', 'formattedAddress': 'Syria'}, 'coords': [38.473472595214844, 35.03312683105469]}",qVJYeVMTT9mraNofMZ_m1g,,"{'name': 'Arabic', 'nativeName': 'العربية', 'code': 'ar'}",facebook,temporary,2014-08-31 07:19:21,579626995388851_833694813315400,facebook,"#شهبا_برس || حلب 
الطيران المروحي يلقي برميل متفجر على حي مساكن هنانو وآخر على حي الشعار، ولم ترد...",,2014-08-31T07:18:58.829664,
2014-08-30 17:53:47,"{'name': 'F.N.N | شبكة فلاش سوريا', 'username': 'syria.news.F.N.N', 'remoteID': 'syria.news.F.N.N'}","مؤثر : انتشال جثة طفل من تحت الأنقاض في حي الأرض الحمرا 30 - 8 - 2014


http://youtu.be/ODUfmBW7Pf4


الدمار الذي خلّفه سقوط برميل متفجر علي حي الأرض الحمرا 30 - 8 - 2014

http://youtu.be/_7yrupXcqWY","Influential: the body of a child recovered from the rubble in the neighborhood of Hamra Earth 30 - 8-2014


http://youtu.be/ODUfmBW7Pf4


The devastation caused by the fall of the explosive barrel on the ground Hamra district 30 - 8-2014

http://youtu.be/_7yrupXcqWY",2014-08-30T18:10:10.933312,['Syria'],http://facebook.com/131596696909733_657566594312738,"{'addressComponents': {'adminArea1': 'Syria', 'formattedAddress': 'Syria'}, 'coords': [38.473472595214844, 35.03312683105469]}",nAo7pbunTXyUnemIYWX9KQ,https://fbexternal-a.akamaihd.net/safe_image.php?d=AQAvEg5n1Cwcz5Xa&w=130&h=130&url=http%3A%2F%2Fi.ytimg.com%2Fvi%2FODUfmBW7Pf4%2Fhqdefault.jpg,"{'name': 'Arabic', 'nativeName': 'العربية', 'code': 'ar'}",facebook,temporary,2014-08-30 17:53:47,131596696909733_657566594312738,facebook,"مؤثر : انتشال جثة طفل من تحت الأنقاض في حي الأرض الحمرا 30 - 8 - 2014


http://youtu.be/ODUfmBW7P...",,2014-08-30T18:09:48.551902,
2014-08-29 14:33:38,"{'name': 'قناة الجزيرة الحمصية', 'username': 'al.jazeera.hoooms', 'remoteID': 'al.jazeera.hoooms'}","#قناة_الجزيرة_الحمصية 
#محافظة_حماة :الطيران المروحي يلقي برميل متفجر على قرية أبو دالي  بريف حماة الشرقي

اللهم سلم","# Guenah_aldzerh_alahmassah
# Mhafezh_hamah: helicopters cast explosive barrel on the village of Abu Dali countryside east of Hama

O Allah, peace",2014-08-29T15:41:45.475251,['Syria'],http://facebook.com/231618680206341_858422750859261,"{'locationIdentifiers': {'authorLocationName': ' Homs, Syria'}, 'addressComponents': {'streetAddress': '5', 'adminArea1': 'Syria', 'formattedAddress': '5, Syria'}, 'coords': [36.71767044067383, 34.7321891784668]}",JLUr8j_JTZ20J1dnQxurxA,,"{'name': 'Arabic', 'nativeName': 'العربية', 'code': 'ar'}",facebook,temporary,2014-08-29 14:33:38,231618680206341_858422750859261,facebook,"#قناة_الجزيرة_الحمصية 
#محافظة_حماة :الطيران المروحي يلقي برميل متفجر على قرية أبو دالي  بريف حما...","[{'name': 'armed-conflict', 'confidence': 1}, {'name': 'air-combat', 'confidence': 1}, {'name': 'conflict', 'confidence': 1}]",2014-08-29T15:40:59.774821,
2014-08-28 08:28:29,"{'name': 'تنسيقية جسرالشغور', 'username': 'jsr.news1', 'remoteID': 'jsr.news1'}","الدخان المتصاعد من مكان سقوط برميل متفجر وسط مدينة سراقب بريف إدلب 28 8 2014

http://youtu.be/GQqax-4SPWM","Smoke from the fall of the place explosive barrels downtown Sracb Brive Idlib 28 82 014

http://youtu.be/GQqax-4SPWM",2014-08-28T17:34:39.281318,['Syria'],http://facebook.com/357800080985252_630164527082138,"{'locationIdentifiers': {'authorLocationName': ' Jisr Al-Shughour, Syria'}, 'addressComponents': {'adminArea1': 'Syria', 'formattedAddress': 'Syria'}, 'coords': [38.473472595214844, 35.03312683105469]}",Lpfsaa85Tt6Ok3Hi45ycpQ,https://external.xx.fbcdn.net/safe_image.php?d=AQB5XtkwMWRhP52o&w=130&h=130&url=http%3A%2F%2Fi.ytimg.com%2Fvi%2FGQqax-4SPWM%2Fmaxresdefault.jpg&l,"{'name': 'Arabic', 'nativeName': 'العربية', 'code': 'ar'}",facebook,temporary,2014-08-28 08:28:29,357800080985252_630164527082138,facebook,"الدخان المتصاعد من مكان سقوط برميل متفجر وسط مدينة سراقب بريف إدلب 28 8 2014

http://youtu.be/GQq...","[{'name': 'armed-conflict', 'confidence': 1}, {'name': 'air-combat', 'confidence': 1}, {'name': 'conflict', 'confidence': 1}]",2014-08-28T19:13:12.650861,
2014-08-28 07:59:30,"{'name': 'شبكة حلب نيوز H.N.N', 'username': 'HalabNewsNetwork.HNN.2', 'remoteID': 'HalabNewsNetwork.HNN.2'}",عاجل : مراسل حلب نيوز : سقوط برميل متفجر على حي بعيدين .,URGENT: News correspondent Aleppo: The Fall of an explosive barrel on the neighborhood away.,2014-08-28T18:22:04.334333,['Syria'],http://facebook.com/578008308913391_693343724046515,"{'locationIdentifiers': {'authorLocationName': ' Aleppo, Syria'}, 'addressComponents': {'streetAddress': '217', 'adminArea1': 'Syria', 'formattedAddress': '217, Syria'}, 'coords': [37.13188171386719, 36.22185134887695]}",XUxr_XzlT4Oclb34nKHu0Q,,"{'name': 'Arabic', 'nativeName': 'العربية', 'code': 'ar'}",facebook,temporary,2014-08-28 07:59:30,578008308913391_693343724046515,facebook,عاجل : مراسل حلب نيوز : سقوط برميل متفجر على حي بعيدين .,,2014-08-28T19:30:29.719472,
2014-08-28 07:54:31,"{'name': 'شبكة حلب نيوز H.N.N', 'username': 'HalabNewsNetwork.HNN.2', 'remoteID': 'HalabNewsNetwork.HNN.2'}",عاجل : مراسل حلب نيوز : سقوط برميل متفجر على منطقة الشيخ نجار القديمة .,URGENT: News correspondent Aleppo: The Fall of an explosive barrel on the area of ​​Sheikh Najjar old.,2014-08-28T18:03:30.802262,['Syria'],http://facebook.com/578008308913391_693343037379917,"{'locationIdentifiers': {'authorLocationName': ' Aleppo, Syria'}, 'addressComponents': {'adminArea1': 'Syria', 'formattedAddress': 'Syria'}, 'coords': [38.473472595214844, 35.03312683105469]}",0XCRQANaT8Gun_J6yXl3dg,,"{'name': 'Arabic', 'nativeName': 'العربية', 'code': 'ar'}",facebook,temporary,2014-08-28 07:54:31,578008308913391_693343037379917,facebook,عاجل : مراسل حلب نيوز : سقوط برميل متفجر على منطقة الشيخ نجار القديمة .,,2014-08-28T19:30:29.850209,
2014-08-20 08:34:34,"{'name': 'سراج برس - Siraj press', 'username': 'press.siraj', 'remoteID': 'press.siraj'}","#سراج_برس | #Siraj_Press
#حلب  : باب الحديد : شهيدان وجرحى بينهم حالات خطرة جراء سقوط برميل متفجر على حي باب الحديد بحلب","# Siraj_bars | #Siraj_Press
# Aleppo: iron door: Two Palestinians killed and wounded, including dangerous situations due to the fall of the explosive barrel on the Bab al-Hadid in Aleppo",2014-08-20T08:33:34.861329,[],http://facebook.com/460191604107660_556067904520029,{},XPIAKzZHQz2qFvhOmFZy5w,,"{'name': 'Arabic', 'nativeName': 'العربية', 'code': 'ar'}",facebook,temporary,2014-08-20 08:34:34,460191604107660_556067904520029,facebook,"#سراج_برس | #Siraj_Press
#حلب  : باب الحديد : شهيدان وجرحى بينهم حالات خطرة جراء سقوط برميل متفجر...","[{'name': 'armed-conflict', 'confidence': 1}, {'name': 'conflict', 'confidence': 1}, {'name': 'death', 'confidence': 1}]",2014-08-20T08:32:34.537875,
2014-08-19 21:43:31,"{'name': 'شبكة أخبار إدلب E.N.N', 'username': 'Edlib.News.Network', 'remoteID': 'Edlib.News.Network'}","عااجل ::
#ادلب - خان شيخون :: 
إلقاء برميل متفجر من قبل مروحية تابعة للنظام على أطراف خان شيخون الجنوبية وسقوط جرحى .","Aaagel ::
# Idlib - Khan Shaikhoun ::
Throwing explosive barrels by helicopter system on the outskirts of Khan Sheikhun South and casualties.",2014-08-19T21:42:57.473561,['Syria'],http://facebook.com/823799097630247,"{'locationIdentifiers': {'authorLocationName': ' Idleb, Syria'}, 'addressComponents': {'adminArea1': 'Syria', 'formattedAddress': 'Syria'}, 'coords': [36.640933990478516, 35.933048248291016]}",nLFqN038SQypex1usOBQgA,https://fbcdn-sphotos-f-a.akamaihd.net/hphotos-ak-xpf1/t1.0-9/s130x130/1625706_823799097630247_6460181764273372636_n.png,"{'name': 'Arabic', 'nativeName': 'العربية', 'code': 'ar'}",facebook,temporary,2014-08-19 21:43:31,823799097630247,facebook,"عااجل ::
#ادلب - خان شيخون :: 
إلقاء برميل متفجر من قبل مروحية تابعة للنظام على أطراف خان شيخون ا...","[{'name': 'armed-conflict', 'confidence': 1}, {'name': 'air-combat', 'confidence': 1}, {'name': 'conflict', 'confidence': 1}]",2014-08-19T21:41:59.352080,
2014-08-18 18:42:50,"{'name': 'سراج برس - Siraj press', 'username': 'press.siraj', 'remoteID': 'press.siraj'}","#سراج_برس | #Siraj_Press
#حلب  : الهلك : الطيران المروحي يلقي برميل متفجر على حي الهلك بحلب","# Siraj_bars | #Siraj_Press
# Aleppo: Hulk: helicopters cast explosive barrel on the neighborhood of Aleppo Hulk",2014-08-18T19:29:20.467246,[],http://facebook.com/460191604107660_555292024597617,{},3QNa0kXRRZm1iaVonvtX7A,,"{'name': 'Arabic', 'nativeName': 'العربية', 'code': 'ar'}",facebook,temporary,2014-08-18 18:42:50,460191604107660_555292024597617,facebook,"#سراج_برس | #Siraj_Press
#حلب  : الهلك : الطيران المروحي يلقي برميل متفجر على حي الهلك بحلب","[{'name': 'armed-conflict', 'confidence': 1}, {'name': 'air-combat', 'confidence': 1}, {'name': 'conflict', 'confidence': 1}]",2014-08-18T19:28:26.236013,
