updatedAt,author,content,createdAt,geo,id,license,lifespan,publishedAt,remoteID,source,summary,tags,updatedAt,formattedAddress,addressComponents,tag_0,tag_1,tag_2
2014-08-10 17:10:48.724458,"{'name': 'LERN', 'remoteID': '0001'}","On August 7, 2014 in Kolba City, Kolahun District, Lofa County seven of the Ebola victims were discharged and sent to their respective homes having responded positively to treatment.
- - - 
This report was forwarded from Peace Building Office",2014-08-10T17:10:48.724446,"{'addressComponents': {'formattedAddress': 'Kolahun District, Lofa County'}}",MqnyZBARR52RyYsxmonR1g,unknown,temporary,2014-08-07T09:06:00,0001-17672,ushahidi_v2,Seven Ebola Victims Recover After Responding Positively to Treatment,"[{'confidence': 1, 'name': 'Disease Outbreak'}, {'confidence': 1, 'name': 'Lofa'}]",2014-08-10 17:10:48.724458,"Kolahun District, Lofa County","{'formattedAddress': 'Kolahun District, Lofa County'}",Disease Outbreak,Lofa,
2014-08-10 17:10:48.775649,"{'name': 'LERN', 'remoteID': '0001'}","On August 6, 2014 it was reported from Zota District, Bong County that the Liberian border with Guinea in the Panta-Zota districts area that there are illegal crossing of borders by citizens of both countries. The borders have been ordered closed by the Liberian government due to the outbreak of the Ebola disease.
- - - 
This report was forwarded from Peace Building Office",2014-08-10T17:10:48.775635,"{'addressComponents': {'formattedAddress': 'Zota District, Bong County'}}",x9jl7iVfT7a68qnxweB1zw,unknown,temporary,2014-08-06T01:47:00,0001-17668,ushahidi_v2,Illegal Crossing of Liberia- Guinean Border in Bong County,"[{'confidence': 1, 'name': 'Disease Outbreak'}, {'confidence': 1, 'name': 'Bong'}]",2014-08-10 17:10:48.775649,"Zota District, Bong County","{'formattedAddress': 'Zota District, Bong County'}",Disease Outbreak,Bong,
2014-08-10 17:10:48.811059,"{'name': 'LERN', 'remoteID': '0001'}","On August 4, 2014 it was reported in Gbarnga City, Bong County that the citizens of the county are living in extreme fear owing to the information spreading around that some evil individuals are going around wasting formaldehyde into drinking wells causing people to die from the contaminated waters and attaching the causes of these deaths to Ebola. As a result of this, getting safe drinking water in Gbarnga is a serious problem because owners of wells and hand pumps are protecting their facilities by locking them.
- - - 
This report was forwarded from Peace Building Office",2014-08-10T17:10:48.811047,"{'addressComponents': {'formattedAddress': 'Gbarnga City, Bong County'}}",B_gzWioCQG-sVLYJ854TEA,unknown,temporary,2014-08-04T01:59:00,0001-17666,ushahidi_v2,The News About Formaldehyde Causes Serious Panic  In Gbarnga,"[{'confidence': 1, 'name': 'Water Supply'}, {'confidence': 1, 'name': 'Bong'}]",2014-08-10 17:10:48.811059,"Gbarnga City, Bong County","{'formattedAddress': 'Gbarnga City, Bong County'}",Water Supply,Bong,
2014-08-10 17:10:48.839582,"{'name': 'LERN', 'remoteID': '0001'}","On August 4, 2014 at the Kolahun Referral Hospital, the Nursing Director of the hospital died from the Ebola disease. He has been the fourth victim of medical personnel at the hospital.
- - - 
This report was forwarded from Peace Building Office",2014-08-10T17:10:48.839569,"{'addressComponents': {'formattedAddress': 'Kolahun District, Lofa County'}}",o5AUmd9sT1CpubqTAJwLWg,unknown,temporary,2014-08-04T01:22:00,0001-17663,ushahidi_v2,The Nursing Director at Kolahun Referral Hospital Dies as a result of Ebola,"[{'confidence': 1, 'name': 'Disease Outbreak'}, {'confidence': 1, 'name': 'Lofa'}]",2014-08-10 17:10:48.839582,"Kolahun District, Lofa County","{'formattedAddress': 'Kolahun District, Lofa County'}",Disease Outbreak,Lofa,
2014-08-10 17:10:48.882641,"{'name': 'LERN', 'remoteID': '0001'}","An eye witness has reported that Community dwellers in the Gaye Town and Chugbor Communities on the Old Road are preventing members of the health team from burying the body of Ebola victims at the Mandingo Graveyard on the Old Road. This has caused serious commotion and the police have been invited but the tension still continues. It is not yet clear as what the final decision may result to, but this requires immediate attention before things get out of control. July 30, 2014 at 1:22 pm.
- - - 
This report was forwarded from Peace Building Office",2014-08-10T17:10:48.882630,"{'addressComponents': {'formattedAddress': 'Old Road, Montserrado County'}}",TCew0oHCQjWaPFS9bBeNsQ,unknown,temporary,2014-07-30T13:22:00,0001-17652,ushahidi_v2,Tension Brews at the Madingo Graveyard on the Old Road Over the Burial of Ebola Victims,"[{'confidence': 1, 'name': 'Montserrado'}, {'confidence': 1, 'name': 'Protest'}]",2014-08-10 17:10:48.882641,"Old Road, Montserrado County","{'formattedAddress': 'Old Road, Montserrado County'}",Montserrado,Protest,
2014-08-10 17:10:48.926587,"{'name': 'LERN', 'remoteID': '0001'}","On July 29, 2014 the border between Guinea and Liberia was closed in the Zota District, Bong County due to the Ebola outbreak.
- - - 
This report was forwarded from Peace Building Office",2014-08-10T17:10:48.926575,"{'addressComponents': {'formattedAddress': 'Zota District, Bong County'}}",EMbnNL5TT4mN33O2XLV8mA,unknown,temporary,2014-07-29T06:32:00,0001-17657,ushahidi_v2,The Liberia- Guinean Border in Bong County Closed Due to Ebola Outbreak,"[{'confidence': 1, 'name': 'Disease Outbreak'}, {'confidence': 1, 'name': 'Bong'}]",2014-08-10 17:10:48.926587,"Zota District, Bong County","{'formattedAddress': 'Zota District, Bong County'}",Disease Outbreak,Bong,
2014-08-10 17:10:48.983327,"{'name': 'LERN', 'remoteID': '0001'}","On July 28, 2014 it was reported from Zota District, Bong county that all health facilities in the district have been closed because of EBOLA outbreak.
- - - 
This report was forwarded from Peace Building Office",2014-08-10T17:10:48.983310,"{'addressComponents': {'formattedAddress': 'Zota District, Bong County'}}",UOu4hozTTc2cWfW0fRGFyw,unknown,temporary,2014-07-28T10:02:00,0001-17660,ushahidi_v2,"Health Facilities in Zota District, Bong County Closed due to Ebola Outbreak","[{'confidence': 1, 'name': 'Disease Outbreak'}, {'confidence': 1, 'name': 'Bong'}]",2014-08-10 17:10:48.983327,"Zota District, Bong County","{'formattedAddress': 'Zota District, Bong County'}",Disease Outbreak,Bong,
2014-08-10 17:10:49.039769,"{'name': 'LERN', 'remoteID': '0001'}","July 28,2014 in Popalahun Town, Kolahun District, Lofa County a group of angry citizens attacked and wounded four members of the Ebola Case Management Team and damaged the tires and windshields of the vehicle carrying. However the police intervened and arrests were made.
- - - 
This report was forwarded from Peace Building Office",2014-08-10T17:10:49.039756,"{'addressComponents': {'formattedAddress': 'Kolahun District, Lofa County'}}",GZmJfvp7S5-ukUGsRdbmlQ,unknown,temporary,2014-07-28T06:55:00,0001-17658,ushahidi_v2,Ebola Health Workers Attacked and Wounded in Kolahun,"[{'confidence': 1, 'name': 'Lofa'}, {'confidence': 1, 'name': 'Mob violence'}]",2014-08-10 17:10:49.039769,"Kolahun District, Lofa County","{'formattedAddress': 'Kolahun District, Lofa County'}",Lofa,Mob violence,
2014-08-10 17:10:49.083949,"{'name': 'LERN', 'remoteID': '0001'}","On July 23, 2014 at the Phebe Hospital in Bong County it was reported that six nurses had died from the Ebola virus and several others were infected including a medical doctor. Health services have drastically reduced to the fear of Ebola.
- - - 
This report was forwarded from Peace Building Office",2014-08-10T17:10:49.083935,"{'addressComponents': {'formattedAddress': 'Gbarnga, Bong County'}}",eHtjWIZkRCygeM6FYVtliQ,unknown,temporary,2014-07-23T06:04:00,0001-17659,ushahidi_v2,"Ebola Kills Six Health Workers at Phebe Hospital, Bong County","[{'confidence': 1, 'name': 'Disease Outbreak'}, {'confidence': 1, 'name': 'Bong'}]",2014-08-10 17:10:49.083949,"Gbarnga, Bong County","{'formattedAddress': 'Gbarnga, Bong County'}",Disease Outbreak,Bong,
2014-08-10 17:10:49.118517,"{'name': 'LERN', 'remoteID': '0001'}","On July 17, 2014 at the G.W. Harlay hospital in Sanniquellie City, Nimba County, a boy around 18yrs old who was suspected of having Ebola virus. According to hospital sources, information was received from Monrovia, where the boy had traveled from that he was Ebola positive. Following the confirmation of the news, every hospital staff including patients fled the hospital leaving the entire building empty due to fear of contracting the virus from the 18 years old boy.
- - - 
This report was forwarded from Peace Building Office",2014-08-10T17:10:49.118505,"{'addressComponents': {'formattedAddress': 'Sanniquellie City, Nimba County'}}",nEgHVC1-QPGfmvq2lbEb-Q,unknown,temporary,2014-07-17T05:06:00,0001-17653,ushahidi_v2,Hospital Staff and Patients Flee the G.W. Harlay Hospital in Sanniequellie due to the Fear of Ebola,"[{'confidence': 1, 'name': 'Disease Outbreak'}, {'confidence': 1, 'name': 'Nimba'}]",2014-08-10 17:10:49.118517,"Sanniquellie City, Nimba County","{'formattedAddress': 'Sanniquellie City, Nimba County'}",Disease Outbreak,Nimba,
