,title,url,geo,comments_name,comments_text
0,Boulder Canyon  ,http://www.mountainproject.com/v/boulder-canyon/105744222,"40.0024, -105.4102",,
1,CU Campus  ,http://www.mountainproject.com/v/cu-campus/105744240,"40.0068, -105.266","['Brian Sorden', 'Anonymous Coward', 'Anonymous Coward', 'Anonymous Coward', 'Anonymous Coward', 'Anonymous Coward', 'Anonymous Coward', 'Joel Shanight', 'Anonymous Coward', 'Brian Sorden', 'Kevin Meyers']","[""\nEverybody knows about the slated buildering that exists on the first level of the Engineering Center.  I've seen some of the more obscure man-made problems sent by Tom Gage (i.e. under the stairs and in the corners.)  This is a great place to build forearm strength but a much better venue for meeting young college women.  Keep a secret?  Check out the underground sandstone block party behind Macky Auditorium.  M'kay.  BTW: Has anyone ever possessed the cajones to scale the Math building?\n\n"", ""\nThis is sweet! Free climbing while I'm at school.  There are plenty of challenges on the engineering building, including lots of cool traverses, man made cracks and stairs to climb, and a door traverse thats V3!  It rocks so try it out! \n\n"", ""\nCU is fun and you can get in a fast work our between classes. It is also shaded and usually has a nice breeze. If bouldering is a big waste of time you must either be wicked strong, don't need any help with endurance or your weak! I say the last one is your best bet.\n\n"", '\nhey buildering and bouldering both rock, who cares how the problem got there?  it just exists for the conquering.  Door traverses are fun, so are super highball math building climbs. :)  If you live in Boulder be sure to convince a crowd of chicks to gather cause i""ll be there next year conquering the math building ropeless.\n\n', '\nlooks like the math building was done in front range freaks and the guy got down by running down the roof. haven\'t seen the movie, but there is a quick blip of it in the trailer.  and to the previous AC...no shit it\'d be ""ropeless""\n\n', ""\nThere is a clip in Front Range Freaks of someone climbing the math building.  But the true challenge isn't that section.  Its the tower to the east of the section done in FRF.\n\n"", ""\nAC, in Front Range Freaks Timmy O'Neill scales the math building, then walks down the roof which is slanted at about a 45 degree angle.  The holds are huge and unless you fuck up it should be good to go. \n\n"", '\nTry Fort Lewis College if you need a CU break,,,The Union building is a solid 5.10...Cooper Hall area of the dorms have good portruding holds...Major portrusion!!!\n\n', '\nJust got hasseled by some middle aged professor type, his exact words were ""I wouldn\'t be doing that here, there\'s an all points [bulletin] for anyone skating, rollerblading, riding bikes, and climbing walls on campus."" I\'m a freshman here, but already I\'ve seen at least 15 different people climbing here as well as climbed here 4 or 5 times myself. What\'s the word, are they cracking down?\n\n', ""\nBecause I guess I started this banter, I want the last word here.  Buildering is not something we do because we're too weak to climb real rock.  We don't do it because we're too poor to go to The Spot.  We do it because it's there and we're there.  I would never imagine someone traveling to CU to check this stuff out.  I did it between math and physics classes, while everyone else out there was smoking or talking on cell phones.  I did it to unwind, out of boredom, not to replace free climbing.  Because we're climbers, something inside relentlessly prompts us to climb anything and everything, from the jungle gym in elementary school to the dorms at Williams Village ala Timmy O'Neill in FRF (That guy is missing a few bolts, I want to party with him!)  I loved it when he did the Daily Camera building because I've made renegade ascents on dozens of downtown buildings and never thought of that one.  Climbing is an impulse.  It's about freedom.  So don't let CU professors or anyone else scold you for buildering, don't let other climbers tell you what climbing is or isn't.  Monkeys in cages would probably prefer trees, and yet they continue to swing around their environment.    \n\n"", ""\nMy friends and I all climbed here in in our teens in the early eighties. We developed our forearm and crimp strength to give us the confidence to send the Eldo testpieces. We got hassled infrequently by the campus police. but now the Boulder po po seems to be in on the crackdown. They claim that it is against written campus law. Does anyone have any information pertaining to the legality of campus bouldering? Or any suggestions as to finding out the legal position on this subject? Our badass forefathers, founders of the sport, used to boulder here and it guiles me to think that this is yet another freedom lost to the Fascist Bastards. Does anyone have any experiences to share? P.S. Tom Gage is an old friend of mine, a solid dude of you're lucky enough to make his acquaintance. \n\n""]"
2,Eldorado Canyon SP  ,http://www.mountainproject.com/v/eldorado-canyon-sp/105744246,"39.9318, -105.2813",,
3,Eldorado Mountain  ,http://www.mountainproject.com/v/eldorado-mountain/105744255,"39.9204, -105.288","['Dave Brower', 'Tod Anderson', 'Anonymous Coward']","['\nThe local wingnut with the gun (Bill Schuller) sold the place to Pinnaclecommunications Inc.  I work up there often and have been climbing on the convenient bouldering areas near the road (""Cloud Nine"" area, etc.) since the early \'90s. I rarely see old Bill around anymore, but I\'ve seen him once in a while putting around the place, so be careful, he still acts like he owns the place... he has about 2 years left  before he should be  gone completley.  He told me once that he ""likes to shoot the bolts out of the rock with his gun"".\n\n', ""\nIt is important to be discrete when accessing the Wild West/West Bank or Mickey Mouse from the Plainview area.  First, don't park at the Plainview railroad crossing.  This is because it is a lot more obvious to sensitive residents that you are in the area and painfully obvious that you are walking on the tracks.  It is much better to park a couple of hundred yards below the crossing on the last left hand switchback and walk due west through the Open Space to access the tracks beyond the maintenance yard and out of sight.  It's also less obvious that you're climbing as a lot of people come to this area to walk their dogs along the roadway, etc.  Second, don't walk through the tunnel to get to the West Bank, Ridge One, etc.  A well marked trail leads around the tunnel and it only takes about five minutes more than walking through the tunnel.  This track has a lot more traffic than in years past with sometimes several trains per hour.  There have been a lot of problems here before, so keep a low profile. \n\n"", ""\nI love hikin' through those tunnels. It makes the day. Especially when you space out and step on a decapitated skunk or railroad grease. So good!!!!!\n\n""]"
4,Flagstaff  ,http://www.mountainproject.com/v/flagstaff/105744225,"40.0014, -105.296","['JAKE HURST', 'Dave McAllister', 'JVonD', 'Hayden Yurkanis', 'Unassigned User', 'Anonymous Coward', 'Anonymous Coward', 'Chip Phillips', 'Anonymous Coward', 'Chip Phillips', 'Chip Phillips', 'Anonymous Coward', 'Anonymous Coward', 'Dave Jackson', 'DeAnn Masin', 'BoulderDiaries', 'Caleb Phillips', 'Chip Phillips', 'GeoffElson', 'greg bahr', 'Peter Beal', 'David Hertel', 'Peter Beal', 'David Hertel', 'kzittle', 'Pinklebear', 'doug rouse', 'Chris Beh', 'Matthew Smoot', 'Rodger Raubach', 'D@n', 'Mark Roth', 'Hunter Damiani', 'Chip Phillips']","['\nFlagstaff is an awesome place to take beginners.  Lots of good topropes and some good rappeling! and the best part is most of it is a short two minute walk from the road.\n\n', '\nNot much can be said concerning the wonderful bouldering at Flagstaff.  Both the history and profundity of rock on the mountain is overwhelming.  But here\'s the deal - it\'s filthy.  I know damn well it isn\'t only climbers (as a matter of fact it\'s mostly the climbers making any concerted effort to keep the place looking snazzy), but let\'s step up to the plate and pretty the place up.  If we all brought one Safeway or ""whatever"" bag every time we travelled to the crags, and tried to fill it, think of the improvement.  It takes minimal time and minimal effort. Anyway, love the place, love the site. \n\n', ""\nI don't think Flagstaff is for beginners.  Very sharp grit will shread your hands.  You must be able to Boulder in the mid to upper V scale or you will be frustrated on many sandbagged ratings.  Great place to go though, but too many gapers.  Beginners should look at Mt. Sanitas.  Problems shouldn't tear your hands as much and lots of hot babes chillin.\n\n"", ""\nI have had an unbelievable amount of luck hitch-hiking up to flagstaff from baseline rd...this is awesome if you don't have a car, and it's the hikers and climbers that mostly pick up folks---thank yall\n\n"", '\nPretty sweet bouldering but it can tear your hands apart.\n\n', ""\nOHHHHHH...mommy, my hands won't quit hurting.  The rock is all sharp and hurty...sob, ohh, boo, hoo. If I would have just climbed at the BRC my hands wouldn't hurt so bad.  Hope none of you whiners ever want to come out to Yosemite and climb long cracks, because you might drown the party that was about to pass you with your hurty hand tears.  Come on grow a pair and enjoy the great bouldering on Flag without all the moans.  Props to the clean up dude, Flag needs it!!\n\n"", ""\nDoes anyone know anything about the boulder just above the parking area on the right after the main monkey traverse parking area? There was some chalk on some up problems, but there is also quite a good traverse from right to left . Just wondering if anyone has done it before, I'm sure someone has.\n\n"", ""\nWell AC, I will actually admit to doing umpteen silly little vertical problems on it as well as the right to left traverse in 1999. As you know, plenty of people have probably fooled around on it through the years, although it has never been included or mentioned in any guides. The problems are too short to be of interest to most boulderers ... nevertheless, it is one of the nicer boulders for full-on beginners; ie: nice landings, short falls, pad not required, etc.  Here's a link to the miniguide for this boulder:  flagstaffmountainbouldering.bl...\n\n"", ""\nThankf for the beta Chip! Also some additional comments: What is the VB rating? I don't believe I've seen it before. Also, the traverse on tutorial rock is probably still V4/V5 without the big hold.\n\n"", '\nYou bet. The VB rating is common at California areas and in RockFax bouldering guides. It usually equates to 5.8/5.9 boulder problems.\n\n', '\nWell AC, I revisited Tutorial Rock when you suggested it was still V4/5 without the huge handlebar rail. While I will agree that the high traverse riding the lip could fairly be graded V4 or and deserving of a *, the low traverse dropping down from the slopers just past the two pebbles to what is left of the rail, continuing left into the start for Layback Lesson and then up, is quite a bit harder and less enjoyable on crumbly sharp rock. Its too bad the handlebar rail went bye bye. It was a truly awesome finish.\n\n', '\nV6 then I guess. Heel hooking eases the weight on the arms quite a bit.\n\n', '\nI guess I was just psyched to find something ""new"" up there. New to me that is.\n\n', '\nFlagstaff is a great place to find ""new"" problems, especially if you have been bouldering for a while. Now I don\'t mean FA\'s, those are few and far between. I am talking about walking that extra little bit to the boulder you keep seeing just off the road, down the hill, or across the valley. Get off the beaten path, walking on hard surfaces of course, and explore! Usually it doesn\'t take too long to find something up on Flagstaff that will intrigue you for weeks. The best part is you tell your buddies about your latest project and they\'ve never heard of it, or they\'ve always wondered about that boulder and just never had the time to explore. The rock is gritty, but suck it up and after a couple of days you won\'t notice.  -D\n\n', ""\nWhere are the top ropes on Flagstaff?  I am taking my young neices climbing and I can't find info on website exactly where they are.  Thanks. \n\n"", ""\nI'm new to the area and just starting to get aquainted with the local spots. Does anyone know what the south arete of the North Boulders go at? The boulder I am referring too is the closest to the Red Wall, there is an obvious sit start on two underclings to some pinches and slopers. Name? Grade? \n\n"", ""\nI just wanted to point out this awesome website for Flagstaff beta (by Chip Phillips):  flagstaffmountainbouldering.bl...  It's linked to on a couple of pages, but it needed to be in a more prominent spot, because it is really solid and fills in many gaps here.\n\n"", '\nThanks for the plug Caleb. FWIW, the blog-guide on the above link should be completed by the end of 2010. It has been a much longer process than I expected.  It was always my hope that I would publish this guide as a fold-out map on tear-proof/waterproof kevlar paper. At this time, however, I believe the online format works best for this sort of endeavor. Entries may be edited/modified, etc. as unknown and new information comes to light.  As of 01/2010, approximately 670 problems covering more than 2/3 of the mountain are up on the blog-guide. More will be up soon. Hopefully, it will be a great resource for those of us who enjoy venturing up Flagstaff from time to time.\n\n', '\nThe guide is crazy comprehensive, great job, really well done.\n\n', ""\nHey, can everybody list what they think are the best classic boulder problems on the mountain? I'm trying to make a list of the best boulder problems associating history and great movement for the grades of V0-V12. Curious to get others input on the subject!\n\n"", ""\nJoin local climber/OSMP Trail Guide Peter Beal and Ranger/Naturalist Geoff Jasper for an introductory program for Flagstaff Mountain, one of the most important urban bouldering areas in the country. Get the beta from Peter on Flagstaff's major formations, dozens of problems, and information on environmentally sound bouldering practices. Geoff will answer questions about park resources and policies.  We will also be joined by Chip Phillips, Flagstaff Mountain bouldering guru, for any questions about specific problems or other climbing-related info. Meet at the First Overhang Parking Area at 10:30 on Saturday, May 1. This hike will last approximately one hour. The tour will not provide technical instruction or safety advice related to bouldering or climbing.\n\n"", ""\nDoes anyone know what problem this is? Nobody I've talked to does. It's one of my favorite climbs on Flagstaff Mountain.        Robby at the top. \n\n"", ""\nThe arete on the right is a fun V0, the left is a good V3 through the undercling. Look up the amphitheater areas in Chip's online guide.\n\n"", ""\nThank you. I don't know why it wasn't posted up on Mountain Project, but now it is.\n\n"", '\nFound a Patagonia R1 pullover balled up under a boulder near Tree Slab late tonight. Let me know if you are missing one.\n\n', '\nRemember, Flagstaff Trail Days are coming! More info here: mountainproject.com/v/flagstaf...\n\n', '\nA large area has recently been closed just North of King Conquer. The area was previously posted closed from Feb -to-August for raptors I assume. Anyway, A recenly re-discovered proj from the early \'90s (Chip Phillips lists this as the ""Forgotten Boulder""), is now reached only by hopping a newly created fence, along with numerous saplings laid across the unobtrusive trail. No notices have been posted on this closure, other than the fence and saplings? The boulder in question was ""on this side"" of the closure\'s marked for Feb.-Aug...so what gives?\n\n', ""\nIf the fence in question isn't posted with a raptor closure or as a Habitat Conservation Area, then it isn't closed to use behind the fence. It is like a cattle fence...designed to keep dumb creatures from mindlessly following a trail that leads them where they probably don't want to go anyway. FWIW, there is a well used social trail in that draw that drops straight down to Boulder Creek and comes out behind a commercial building (no resisdential property crossing necessary) just South of Eben G Fine. I'm sure OSMP would prefer people stay out of there, but until it is designated an HCA, you can go climb that Forgotten Boulder.\n\n"", '\nThere were a number of improvements and trail modifications made during the recent trail work days in Sept. and beginning of October.  New landing areas were created for popular areas and fences were erected to prevent land erosion and preserve the natural habitat from damage cause by the vast number of social trails.  As one of the volunteers that worked on the project, we ask that you stay on the clearly marked trails and do not ""jump"" fences or take what you believe to be a shortcut.  You\'re still able to access your favorite areas, and if you can\'t it is because, they are in a conservation area.    You\'ll notice major improvements, especially to landing areas, at the First Overhang and Upper-Y Traverse.  Please help protect the area for future generations by staying on trail and packing out whatever you carry in.\n\n', '\nSigh! Sob! I recently visited Flagstaff after having been away for many (nearly 25!) years. The place has been ""loved to death!"" The ground level for almost all the boulders has eroded away by 12""-20"" for some. I simply left in disgust without putting on my shoes. I was fortunate enough to be climbing there while it was still pretty ""virgin."" i.e. I started bouldering on Flagstaff in 1959!\n\n', ""\nFlagstaff is CLOSED to all non-residents as of October 24, 2013. I called OSMP and they confirmed the closure. Asked if I could walk up and was told I'd have to get past the ranger at the bottom. I have no idea what that means. Probably just steer clear of this area until it re-opens. When it does, it will be posted on OSMP re-opened climbing areas.\n\n"", '\nAll of the trails and climbing on Flagstaff are now open.  The road is still closed to non-residents, so you need to hike up....\n\n', '\nHere is a video of a new problem I put up on Flagstaff. It climbs ""South Overhang"" V3 but WITHOUT the Pedestal/Other Boulder.  Super rough top out/epic beached whale with very southern style, sloper campusing. It\'s called ""G.R.I.T.S."" (Girls Raised In The South), V10, due to is southern style and very gritty texture.  I put it up about 8 years ago, but it is never chalked, and I don\'t think it ever been repeated hopefully it can go up on Mountain Project now, and more people will be interested in giving it a go.  It starts with a really cool two finger, quartz crystal crimp for a right hand and left hand on a slopey pinch, campus left hand to sloper then right to sloper, to multiple campus bumps with right hand to a vicious unforgiving mantle. ""G.R.I.T.S."" climbs the south face of the Rock Shelter Boulder in the Upper Great Ridge/King Conquerer area.   \n\n', '\nThat was sick, Hunter!\n\n']"
5,Flatirons  ,http://www.mountainproject.com/v/flatirons/105797700,"39.9828, -105.289",[],[]
6,Mount Sanitas  ,http://www.mountainproject.com/v/mount-sanitas/105744361,"40.027, -105.301","['Lauryn Kelie', 'Gavi Weiner', 'Wyatt Buford', 'Hayden Yurkanis', 'Anonymous Coward', 'Joe McManus', 'Bryson Slothower', 'billy bongo', 'caloy fernandez', 'Anonymous Coward', 'Anonymous Coward', 'Jason Kennedy', 'noname', 'Ryan Flynn', 'Chris Beh', 'Ryan Flynn', 'Evan S', 'Ryan Flynn', 'Ryan Watts']","[""\nJay-dog you are the man for hookin me up with this cool new place to climb, people like you is what makes this my fav climbin site!  Yep i agree with you buddy not only is the slope of the rock grueling(i nearly lost my footing once-good thing i didn't fall too cause i would have really put a gash in my knee that probably would have hurt in the morning :) ), but that harsh five minutes can really kick some ass for lazy folks like myself.  It took me a good couple of seconds to recover when i got to the bouldering site, but enough said it is truly a great place to climb.  thanks bud for letting all of us climbers know about another great area around boulder! \n\n"", '\nGood place to take the pup!\n\n', ""\nI am not sure that I agree with you man...Mount Sanitas' only good thing going for it is the hot babes who jog around the area.  I personally think it's pretty small, lame, and the problems are easy as hell.  Try Flagstaff instead!\n\n"", '\nif you are going to disagree with me about something you might want to try disagreeing with something i actually said.   \n\n', ""\nFor more information on Mt. Sanitas, I found a fair amount in the best of Boulder Bouldering, right at the beginning of the book.  I actually discovered this place today, and I don't think that it is that bad.  Not many people venture this far north to climb, so it is a good time.  \n\n"", '\nSanitas is a great place to boulder on a cold sunny day.  The rocks stay in the light till almost sundown and as  such are warm. Just stay away from the dakota ridge  bouldering, really bad rock that comes off in huge  sections. \n\n', ""\nChill site to boulder where you won't need to take shoes, chalk or crash pad. There are some cute chicas running around as well so head up in your tennies and get ready to swing from buckets and jugs for about 40 minutes worth of quality fun!!!...\n\n"", '\nMT. Sanitas is a good place to go for a quick boulder session. It is close in, right past pearl street. The rock is pretty good, and it gets good expoposure throughout the day. If you are a begging climber and feel intimadated by elitists in other areas this is a good place to be. the rock is also easy on the hands which is nice for beginners. Also I read your comment on eldo Jay, your the shit man.\n\n', '\nYes yesterday, my buddies and i went there- climb. the rock looks nice and clean. also nice problem. like another people said about warm and cold area. it s fun to climb.\n\n', ""\nThe site won't allow access to the Turd boulder. Just thought I'd let you know.\n\n"", '\nI stink.  I am a total beginner and couldn\'t tackle any of the V0-2 climbs here :(  They all overhang slightly and I had trouble holding on.  I had to go over the rock ridge to the east side and do some nice ""climbing/scrambling"" with great views down to Boulder.  But....the rumor is true - HOT women jogging and walking up the Mt. Sanitas Trail along the boulders!!!\n\n', ""\nI know it's not just the climbers dogs, but the amount of dog s#!t is not acceptable! I pick up a full bag every time I go here. And just try jogging this trail on a warm day, the stench will gag you. Tell people to pick up their dog's s*&t if you see them leaving it behind, most of them readily doo.\n\n"", ""\nI have enjoyed this area ever since my brother and I moved to Boulder.  We liked Mt. Sanitas, but find that almost every time we are there someone walks up and starts traversing back and forth rendering the area useless to anyone else.  So don't get overly comfortable with one area.  Solution.  We now like the Dakota Ridge side a lot as well.  I read a comment about the rock not being very good on the ridge.  There is plenty of great bouldering problems to be found here and there usually is no one else around climbing.  Just our opinion.  See ya out there.  Ian\n\n"", '\nMt. Sanitas is great. Anyone know about the Red Rock spur area to the SW of Mt. Sanitas?\n\n', ""\nRed Rocks in Boulder is extra soft Fountain sandstone which doesn't climb well at all. Mt Sanitas is Dakota sandstone.\n\n"", '\nAny info on the ""Dakota Range,"" the hogback area to the east of Sanitas, across the canyon?\n\n', '\nFirst of all, Red Rocks does have a decent section of solid stone to the south east of the main formations. Off the main trail look for a wall of light beige colored stone, this is ""white rocks at red rocks,"" and has some moderately challenging traversing and some cool up-problems. Just uphill (further south east) from there is a block called ""the cobbler,"" it looks like it will crumble in your hands, but it\'s solid and very interesting pinchy climbing, but almost never touched by anyone. Just bring a few pads, the landing slopes off pretty good. As far as Dakota Ridge, there are a few exceptional spots, I like them more than anything on Sanitas proper to be honest. ""The Sanitarium"" is most easily reached by the upper hospital parking lot (past the smoke stack), or the trail head off of 4th Street. It is just north west of the stone shack on the crest of that little hill there. It is mildly overhanging super solid sandstone with unlimited possibilities for eliminates, world class traverse workouts, and an up problem that goes at V-hard or a big dyno. There is also another chunk of rock 20 feet south of it with some lower to the ground and harder problems. Farther north on the ridge, if you follow the trail on the east side of the ridge you will reach the crest and find ""The Cabana."" This is an immaculate piece of unique rock with lots of cool huecos and weird little ridge features, it\'s all about the eliminates on the traverse here, the up problems aren\'t that great. Tread lightly here, it sees little to no traffic because of the hike and it would be great if people kept it clean and serene like it is right now. There is one more gem on dakota, it is, I believe, called ""Mickey\'s Fin,"" but I could be totally wrong. It is on the steep connector trail that comes up from the hawthorn trailhead. It is a little overhanging with killer underclings, pockets, pinches, and possibilities for some decently hard problems up the face and NW arete. There are lots of west facing faces all along Dakota Ridge that have lots of potential, but I have found a lot of the rock on these walls to be a little soft and crumbly, just not that particularly great, but feel free to explore. I was going to add all these areas with photos this summer, but I broke my ankle and can\'t walk or climb for a while, by next fall I should have them all documented. Good luck till then. \n\n', '\nEvan, thanks for all the valuable info re: Red Rocks and the Dakota Range. Honestly, the Sanitas area is one of my favorite areas to climb for the calm, chill atmosphere, and the great views of Boulder. Bummer about your ankle. Would love to spend some time climbing and developing these areas this summer.\n\n', '\nI wrote up a short ""guide"" that includes some of the Dakota Ridge formations and some additional boulders/problems that aren\'t mentioned here: henindoubtrunitout.com/blog/mo....  I\'d be happy to add some of these to the site, but for some reason it won\'t let me?  Maybe I\'m just doing it wrong....\n\n']"
7,Old Mapleton Elementary School  ,http://www.mountainproject.com/v/old-mapleton-elementary-school/107303973,"40.02036, -105.28556",,
8,Upper Dream Canyon  ,http://www.mountainproject.com/v/upper-dream-canyon/105744234,"40.0102, -105.4066","['matthew sawyer', 'Adrian Hill', 'pete cogan', 'Jay Hippel', 'Brian Sorden', 'William McGehee', 'Kat A', 'charlybldr', 'Chad', 'Gold Plated Rocket Pony', 'Kaner', 'LKT', 'Jeremy W', 'prod.', 'KairnKB', 'Will Mitchell']","['\nI would affirm Dream Canyon\'s reputation as a nudist/homosexual spot, having three such experiences in my first five visits.  Not unpleasant people, though not afraid.  Once, mountain biking all the way east along Ridge Road in Nederland and passing the ""summer road"" and passing out of the residential area, I followed my nose along dirt roads until I was getting near Boulder Falls.  Finding an interesting looking trail north, I jumped on it it and headed steeply down the hill.  The trail petered out to deer track, and I was coming hard down the fall line with my bike on my shoulder.  As I neared the creek, I began to hear chanting.  At the very bottom of the canyon on the south side was a small meadow, on which were a few tents.  A small bridge crossed the creek here to the north, where there is a large flat space at the bottom west end of Dream Canyon.  A large blue tarp was suspended as an open walled tent, and underneath it were 2 dozen 30-40 something outdoorsy kinda Boulder types, wearing North Face and fleece jackets.  Three women appeared to be inspired by spirits and were fainting backwards in ecstasy into cohorts arms.  Again, chanting.  8-10 more dome tents, coupla SUVs, and as I cross the bridge, a couple of fellas quickly cruise over (spiritual, long hair, not menancing, but very concerned about my presence) and escort me towards the road, asking wassup?  Motioned towards the other side of the canyon and the epic I would have had had I not found the bridge, and they just asked that I not return.  One of the cars in the normal Dream Canyon parking lot had a bumpersticker;  ""Life\'s a joy, then you ascend..."".  Dream Canyon is its own vortex...\n\n', '\nAnyone know the name of the rock, and the single route, about 100 yardsdownstream from The Terrace? There is a single bolted line (6 bolts) onan overhanging face, leading to a two bolt rap anchor. The rock isslightly upstream from the plank across the river at the Lost Angel.Grade for the route?  Thanks for any information.\n\n', ""\nDream question:  Above the anchors on Freedom [Lost Angel Wall] are two bolted routes which don't seem to be in Rossiter's guide or in this database . . . Anyone know what they are?  Thanks.\n\n"", ""\nWhat is the route across the creek from [Lost Angel]?  slightly overhanging, good holds, the only route on the rock.  It's between the [Plank Bridge] and [The Terrace] and a really great line.  Name?  Grade?\n\n"", '\nThe rock across the creek from Lost Angel, downstream from the Terrace is called ""Irish Holiday"" and the bolted route is called ""Spiders and Snakes"" (5.12b).  This route was cleaned, bolted and had its first free ascent by Bob Horan in the Autumn of 1998, assisted and belayed by myself and Mark Winstead.  There is a short crack to the right of this route which finishes with the last three bolts on the rock, done free by me, then Mark, and named ""Jack Hunter"" (5.8).  This is mentioned for posterity, not as a recommendation.   When you read the initial Dream Canyon description substitute ""gay men"" for ""homosexual"" and ""exhibitionist"" for ""nudist.""  Having lived in the closest house to the canyon and Boulder Falls for over three years, I saw a lot of things, but I never saw a lesbian.  Don\'t mistake my comments for scrutiny.  People should be free to do what makes them happy in nature (be it hike, or climb, or have sex with strangers) as long as nature is preserved.    Also on the initial description: There are many ways to hike into LOWER Dream Canyon from the Boulder Falls area, but climbing above the falls (as many a flatlander has done) can earn you a trespassing ticket from rangers (trust me).  From the parking area, cross the road down canyon from the ""hole in the rock"" and find the steep and narrow telephone service trail, try to avoid touron attention and be mindful of loose rock above the road.  Only use this trail to access lower Dream Canyon during high water, otherwise hike down from the upper canyon.  Be careful on all scree slopes and stay out of the mines, several have been filled in by the forest service during the last fifteen years but not all.  They are unstable and perilous.  Be discrete and respectful above the rim (i.e. top of Winter Warmth), it is private property.  \n\n', ""\nAnother way to get to Dream is by soloing the 4/5th class rock to the east of the falls. Just cross the creek and hike uphill a tad. I'm not sure if this is trespassing as well, but I can't imagine it is... Signs were on the West side of the creek, so... Lots of fun to do in wintry conditions/snow! Also, anyone know the name/grade of the 2 bolt route JUST right of the Falls? It runs up a blank wall with a roof, if I recall. Looks a little...um...run-out?\n\n"", '\nThe parking lot off Lost Angel Road has been full on our recent visits.  As we were leaving this afternoon (07/02/06) cars were idling waiting for spots; the pullouts off the road were also taken.  Perhaps not surprising as this is a great area to climb.\n\n', '\nBrian said,  ""Also on the initial description: There are many ways to hike into LOWER Dream Canyon from the Boulder Falls area, but climbing above the falls (as many a flatlander has done) can earn you a trespassing ticket from rangers (trust me).""  I know many climbers have been ignoring the sign for years. Has anybody else gotten a ticket for hiking up from Boulder Falls? \n\n', '\nMy guidebook was grabbed at base of the Lost Angel wall.  If you have it, please let me know.  caabiz@gmail.com\n\n', '\nThanks to whoever took the time this week to cut down a few of the branches on the trail leading down to the Oceanic Wall and clean it up.  That section was a real pain to get around.\n\n', ""\nI agree with other that this IS indeed a popular homosexual and nudist hangout from a few experiences (no I'm not gay, no I don't have a problem with old men tanning naked-just awkward, yes I do have problem seeing man-on-man sex acts in a beautiful sunny canyon on a weekend)  Also, coed nudists hang here.  This I have no problem with. mountainproject.com/v/colorado...\n\n"", ""\nI have a question about Dream Canyon, so forgive me if my post is irrelevant. In 1977, I was taken up there and hiked along the creek. My guide then left me alone to camp out there by myself and said if I followed the trail I'd end up at the hwy (119). He didn't tell me there was a waterfall (not Boulder Falls but before). I ended up going down that fall and I want to know how tall it is? Anyone know what I'm talking about? It was a long time ago. Thanks!\n\n"", ""\n8/25/2011  Attn: There is a stuck Orange Petzl rope on the lefthand-ish side of Dream Dome, the rope extends down to the water. This is my rope, I got it stuck in a thin crack pulling it down from rappel anchors at the top. I'll grab it Saturday, but if anyone sees it, please leave it alone, or just hide it somewhere at the bottom if you're going to climb the route. Thanks, Jeremy\n\n"", ""\nWell.... Bob D's book is fairly vague on how to get into the canyon, and there is no signage. But the best way to figure a place out is to get lost, if you have the time.... We did.  Also saw a gay, assumption, naked man walking down the trail. If I were him, I'd stick to hiking in the nude in warmer weather....  Prod.\n\n"", '\nFound a pair of purple Evolv shoes size 6.5 up near Gully Washer ...  anyone looking for these? \n\n', '\nHello all!!   I was climbing at Upper Dream Canyon on Sunday May 26th and I left my camera at the rocks somewhere. It is an Olympus Tough Tg-1 with silver and black body and has a red wrist strap on it. This camera has been around the world with me and is very special to me. If anyone has located it or has any information, I WILL GIVE A REWARD. PLEASE!!  Anyone with any information, please contact me!! williamcmitchell3@gmail.com.  Thank you, good people!!!       Olympus TG-1. \n\n']"
9,Above Tower of Babel  ,http://www.mountainproject.com/v/above-tower-of-babel/105861997,"40.0029, -105.4079",,
