,area_name,area_url
0,Boulder Canyon,http://www.mountainproject.com/v/boulder-canyon/105744222
1,CU Campus,http://www.mountainproject.com/v/cu-campus/105744240
2,Eldorado Canyon SP,http://www.mountainproject.com/v/eldorado-canyon-sp/105744246
3,Eldorado Mountain,http://www.mountainproject.com/v/eldorado-mountain/105744255
4,Flagstaff,http://www.mountainproject.com/v/flagstaff/105744225
5,Flatirons,http://www.mountainproject.com/v/flatirons/105797700
6,Mount Sanitas,http://www.mountainproject.com/v/mount-sanitas/105744361
7,Old Mapleton Elementary School,http://www.mountainproject.com/v/old-mapleton-elementary-school/107303973
8,Upper Dream Canyon,http://www.mountainproject.com/v/upper-dream-canyon/105744234
9,Above Tower of Babel,http://www.mountainproject.com/v/above-tower-of-babel/105861997
10,Across From Cenotaph,http://www.mountainproject.com/v/across-from-cenotaph/105862845
11,Across From Mind Shaft Cliff Crag,http://www.mountainproject.com/v/across-from-mind-shaft-cliff-crag/105861965
12,Across from The Bihedral aka Cascade Crag,http://www.mountainproject.com/v/across-from-the-bihedral-aka-cascade-crag/105746307
13,Ament's Rock,http://www.mountainproject.com/v/aments-rock/105746686
14,"Angel of Death (formerly known as The Beer Can), The",http://www.mountainproject.com/v/the-angel-of-death-formerly-known-as-the-beer-can/105746077
15,Animal World,http://www.mountainproject.com/v/animal-world/105744917
16,"Arena (aka Contender Wall), The",http://www.mountainproject.com/v/the-arena-aka-contender-wall/105745747
17,Armin's Crag,http://www.mountainproject.com/v/armins-crag/106056543
18,Avalon,http://www.mountainproject.com/v/avalon/105745528
19,Bell Buttress Massif,http://www.mountainproject.com/v/bell-buttress-massif/105864848
20,Between Crackland and Wizard Rock,http://www.mountainproject.com/v/between-crackland-and-wizard-rock/106909001
21,BH Block,http://www.mountainproject.com/v/bh-block/106597307
22,"Bihedral Area, The",http://www.mountainproject.com/v/the-bihedral-area/105859534
23,Bitty Buttress,http://www.mountainproject.com/v/bitty-buttress/105744605
24,Black Widow Slab,http://www.mountainproject.com/v/black-widow-slab/105746409
25,Blob Rock Area,http://www.mountainproject.com/v/blob-rock-area/105810491
26,Boulder Canyon Boulder,http://www.mountainproject.com/v/boulder-canyon-boulder/105746474
27,Boulder Falls East,http://www.mountainproject.com/v/boulder-falls-east/105959633
28,Boulder Slips,http://www.mountainproject.com/v/boulder-slips/105860783
29,"Boulderado, The",http://www.mountainproject.com/v/the-boulderado/105744641
30,"Bowling Alley, The",http://www.mountainproject.com/v/the-bowling-alley/105863546
31,"Brick Wall, The",http://www.mountainproject.com/v/the-brick-wall/105744587
32,Broken Rock,http://www.mountainproject.com/v/broken-rock/105746331
33,Bummers Rock,http://www.mountainproject.com/v/bummers-rock/105744576
34,Canyon Block,http://www.mountainproject.com/v/canyon-block/106014126
35,Castle Rock,http://www.mountainproject.com/v/castle-rock/105744656
36,"Catacombs, The",http://www.mountainproject.com/v/the-catacombs/109142199
37,Cenotaph Crag,http://www.mountainproject.com/v/cenotaph-crag/105745813
38,Cenotaph Spire,http://www.mountainproject.com/v/cenotaph-spire/106830585
39,Cob Rock,http://www.mountainproject.com/v/cob-rock/105744567
40,Coney Island,http://www.mountainproject.com/v/coney-island/105744894
41,"Cornerstone, The",http://www.mountainproject.com/v/the-cornerstone/105744776
42,Couch Fire Crag,http://www.mountainproject.com/v/couch-fire-crag/105832576
43,"Dome, The",http://www.mountainproject.com/v/the-dome/105744581
44,Eagle Rock,http://www.mountainproject.com/v/eagle-rock/105744900
45,East Of Eden,http://www.mountainproject.com/v/east-of-eden/106189795
46,Easter Rock,http://www.mountainproject.com/v/easter-rock/105745978
47,Electra Glide,http://www.mountainproject.com/v/electra-glide/105744635
48,Elephant Buttresses,http://www.mountainproject.com/v/elephant-buttresses/105744584
49,Fin Land,http://www.mountainproject.com/v/fin-land/108416804
