updatedAt,content,createdAt,entities,geo,id,language,license,lifespan,publishedAt,remoteID,source,summary,tags,updatedAt,adminArea1,adminArea3,adminArea4,adminArea5,formattedAddress,postalCode,streetAddress,addressComponents,coords,latitude,longitude,tag1,tag2,tag3,lang
2014-05-09 19:09:10.969132,"@btjackson10 had a spot in the front, so I moved my car and the workers were grateful that I told them I was moving. #gangstakindness
qbncris ‏@Perridyce",2014-05-04T05:05:20.840743,,"{'addressComponents': {'adminArea3': 'MI', 'adminArea1': 'United States', 'adminArea4': 'Wayne Co.', 'adminArea5': 'Livonia', 'streetAddress': 'Hubbard St & Maryland St', 'postalCode': '48150', 'formattedAddress': 'Hubbard St & Maryland St, Livonia, MI 48150'}, 'coords': [-83.361925, 42.35733]}",NeP7rlh-RA2tOSYoxO1cKA,"{'name': 'English', 'nativeName': 'English', 'code': 'en'}",unknown,temporary,2014-02-12T16:19:00.000Z,22736-4043,ushahidi,#gangstakindness,"[{'name': 'Random Acts of Kindness', 'confidence': 1}, {'name': 'Twitter', 'confidence': 1}, {'name': 'Grateful!', 'confidence': 1}]",2014-05-09 19:09:10.969132,United States,MI,Wayne Co.,Livonia,"Hubbard St & Maryland St, Livonia, MI 48150",48150,Hubbard St & Maryland St,"{'adminArea3': 'MI', 'adminArea1': 'United States', 'adminArea4': 'Wayne Co.', 'adminArea5': 'Livonia', 'streetAddress': 'Hubbard St & Maryland St', 'postalCode': '48150', 'formattedAddress': 'Hubbard St & Maryland St, Livonia, MI 48150'}","[-83.361925, 42.35733]",42.35733,-83.361925,Random Acts of Kindness,Twitter,Grateful!,en
2014-05-09 19:09:10.797991,"grateful for staying indoors, and for cuddling, cocoa and fireplaces. And most epescially grateful for the wit and wisdom of Liz Barry:

""Winter wonder lands sorry but I love everything about winter, well except driving in a blizzard. Snow banks are great for holding water for the rest of the year and filling aquifers. Certain areas if our country have been in drought for years and snow does not run off as fast as rain. Only bitter cold kills beetles that have been ravaging our forests. People need to slow down, stay in, don't drive when storms happen, that being said if you don't have heat or electricity my heart goes out to you been there and am blessed I have a fire place to huddle around.""",2014-05-04T05:05:17.349309,,"{'addressComponents': {'adminArea3': 'CO', 'adminArea1': 'United States', 'adminArea4': 'Routt Co.', 'adminArea5': 'Steamboat Springs', 'streetAddress': 'Bob Adams Dr', 'postalCode': '80487', 'formattedAddress': 'Bob Adams Dr, Steamboat Springs, CO 80487'}, 'coords': [-106.840883, 40.491921]}",106jDtuvTrecvLXMJyumew,"{'name': 'English', 'nativeName': 'English', 'code': 'en'}",unknown,temporary,2014-02-12T16:03:00.000Z,22736-4042,ushahidi,"cuddling, cocoa and fireplaces","[{'name': 'Twitter', 'confidence': 1}, {'name': 'Grateful!', 'confidence': 1}]",2014-05-09 19:09:10.797991,United States,CO,Routt Co.,Steamboat Springs,"Bob Adams Dr, Steamboat Springs, CO 80487",80487,Bob Adams Dr,"{'adminArea3': 'CO', 'adminArea1': 'United States', 'adminArea4': 'Routt Co.', 'adminArea5': 'Steamboat Springs', 'streetAddress': 'Bob Adams Dr', 'postalCode': '80487', 'formattedAddress': 'Bob Adams Dr, Steamboat Springs, CO 80487'}","[-106.840883, 40.491921]",40.491921,-106.840883,Twitter,Grateful!,,en
2014-05-09 19:09:11.381293,RT @PastorPothier: Gratitude is the very foundation of worship.,2014-05-04T05:05:12.748605,,"{'addressComponents': {'adminArea3': 'AK', 'adminArea1': 'United States', 'adminArea4': 'Bethel C.A.', 'adminArea5': 'Bethel', 'streetAddress': 'Street', 'postalCode': '99559', 'formattedAddress': 'Street, Bethel, AK 99559'}, 'coords': [-160.0019989013672, 60.97869873046875]}",RT7YbUNlQ1WLkH_R0Jrn9g,"{'name': 'English', 'nativeName': 'English', 'code': 'en'}",unknown,temporary,2014-02-12T05:06:56.000Z,22736-4041,ushahidi,RT @PastorPothier: Gratitude is the very foundatio...,"[{'name': 'Trusted Reports', 'confidence': 1}]",2014-05-09 19:09:11.381293,United States,AK,Bethel C.A.,Bethel,"Street, Bethel, AK 99559",99559,Street,"{'adminArea3': 'AK', 'adminArea1': 'United States', 'adminArea4': 'Bethel C.A.', 'adminArea5': 'Bethel', 'streetAddress': 'Street', 'postalCode': '99559', 'formattedAddress': 'Street, Bethel, AK 99559'}","[-160.0019989013672, 60.97869873046875]",60.97869873046875,-160.0019989013672,Trusted Reports,,,en
2014-05-09 19:09:11.631432,"Today, I am grateful to wake to a loving husband, Walter of 44 yrs. TODAY. We have as I suspect many have, survived fire, flood, separation of our children, lose of family, loss of our most precious dogs and a # of auto accidents with personal debilitating injuries, financial loses, moving state to state to keep jobs, but yet, We STILL LOVE each other deeply, are loyal, kind and are loving and devoted to the end. We have Christ in our life and terrific Christian friends who have been there 43 of those yrs. NO ONE CAN ASK GOD FOR MORE. Marie...",2014-05-04T05:05:24.251352,,"{'addressComponents': {'adminArea3': 'Scotland', 'adminArea1': 'United Kingdom', 'adminArea4': 'Dumfries and Galloway', 'formattedAddress': 'Dumfries and Galloway, United Kingdom'}, 'coords': [-3.435973, 55.378051]}",9P8G9MUYSbS6sMtcEbifuA,"{'name': 'English', 'nativeName': 'English', 'code': 'en'}",unknown,temporary,2014-02-11T16:59:00.000Z,22736-4040,ushahidi,"Grateful  Surviving everything thing in LIFE- Thank you, GOD","[{'name': 'Random Acts of Kindness', 'confidence': 1}, {'name': 'Grateful!', 'confidence': 1}, {'name': 'Love my animal', 'confidence': 1}, {'name': 'Thank You!', 'confidence': 1}]",2014-05-09 19:09:11.631432,United Kingdom,Scotland,Dumfries and Galloway,,"Dumfries and Galloway, United Kingdom",,,"{'adminArea3': 'Scotland', 'adminArea1': 'United Kingdom', 'adminArea4': 'Dumfries and Galloway', 'formattedAddress': 'Dumfries and Galloway, United Kingdom'}","[-3.435973, 55.378051]",55.378051,-3.435973,Random Acts of Kindness,Grateful!,Love my animal,en
2014-05-09 19:09:12.131296,"My mom is hands down the strongest woman I've ever met and I'm beyond grateful to have her.
Morgan Joyce ‏@Morgyanne",2014-05-04T05:05:25.376875,,"{'addressComponents': {'adminArea3': 'WA', 'adminArea1': 'United States', 'adminArea4': 'Clallam Co.', 'adminArea5': 'Port Angeles', 'streetAddress': '589 Striped Peak Rd', 'postalCode': '98363', 'formattedAddress': '589 Striped Peak Rd, Port Angeles, WA 98363'}, 'coords': [-123.675828, 48.154042]}",V1kyWUhDR7egwAuc13Ytjg,"{'name': 'English', 'nativeName': 'English', 'code': 'en'}",unknown,temporary,2014-02-11T13:43:00.000Z,22736-4039,ushahidi,strongest woman I've ever met,"[{'name': 'Twitter', 'confidence': 1}, {'name': 'Grateful!', 'confidence': 1}]",2014-05-09 19:09:12.131296,United States,WA,Clallam Co.,Port Angeles,"589 Striped Peak Rd, Port Angeles, WA 98363",98363,589 Striped Peak Rd,"{'adminArea3': 'WA', 'adminArea1': 'United States', 'adminArea4': 'Clallam Co.', 'adminArea5': 'Port Angeles', 'streetAddress': '589 Striped Peak Rd', 'postalCode': '98363', 'formattedAddress': '589 Striped Peak Rd, Port Angeles, WA 98363'}","[-123.675828, 48.154042]",48.154042,-123.675828,Twitter,Grateful!,,en
2014-05-09 19:09:12.214495,so relieved and grateful that Pete is off oxygen today and moving around more easily,2014-05-04T05:05:26.509241,,"{'addressComponents': {'adminArea3': 'VA', 'adminArea1': 'United States', 'adminArea4': 'Charlottesville', 'adminArea5': 'Charlottesville', 'streetAddress': '9th St NE', 'postalCode': '22902', 'formattedAddress': '9th St NE, Charlottesville, VA 22902'}, 'coords': [-78.476678, 38.029306]}",rWOpuf_8ShW-pw81HMU0-g,"{'name': 'English', 'nativeName': 'English', 'code': 'en'}",unknown,temporary,2014-02-11T13:11:00.000Z,22736-4038,ushahidi,Pete's off oxygen,"[{'name': 'Grateful!', 'confidence': 1}]",2014-05-09 19:09:12.214495,United States,VA,Charlottesville,Charlottesville,"9th St NE, Charlottesville, VA 22902",22902,9th St NE,"{'adminArea3': 'VA', 'adminArea1': 'United States', 'adminArea4': 'Charlottesville', 'adminArea5': 'Charlottesville', 'streetAddress': '9th St NE', 'postalCode': '22902', 'formattedAddress': '9th St NE, Charlottesville, VA 22902'}","[-78.476678, 38.029306]",38.029306,-78.476678,Grateful!,,,en
2014-05-09 19:09:11.048814,glad I come from a long line of people who knew to have a good time. Thanks for raising me to love life and try to see the bright side of things.,2014-05-04T05:05:15.071815,,"{'addressComponents': {'adminArea3': 'PA', 'adminArea1': 'United States', 'adminArea4': 'Luzerne Co.', 'adminArea5': 'Kingston', 'streetAddress': '10 Evans St', 'postalCode': '18704', 'formattedAddress': '10 Evans St, Kingston, PA 18704'}, 'coords': [-75.897141, 41.278137]}",UyLHjOROQ9-ki3eyCVBrGw,"{'name': 'English', 'nativeName': 'English', 'code': 'en'}",unknown,temporary,2014-02-11T12:36:00.000Z,22736-4037,ushahidi,a long line of fun people,"[{'name': 'Grateful!', 'confidence': 1}, {'name': 'Thank You!', 'confidence': 1}]",2014-05-09 19:09:11.048814,United States,PA,Luzerne Co.,Kingston,"10 Evans St, Kingston, PA 18704",18704,10 Evans St,"{'adminArea3': 'PA', 'adminArea1': 'United States', 'adminArea4': 'Luzerne Co.', 'adminArea5': 'Kingston', 'streetAddress': '10 Evans St', 'postalCode': '18704', 'formattedAddress': '10 Evans St, Kingston, PA 18704'}","[-75.897141, 41.278137]",41.278137,-75.897141,Grateful!,Thank You!,,en
2014-05-09 19:09:12.048866,"winter driving is for the birds...ranging from pain-in-the-neck to scares-me-to-pieces.....but grateful for rock salt, plows &  four wheel drive",2014-05-04T05:05:27.677965,,"{'addressComponents': {'adminArea3': 'CT', 'adminArea1': 'United States', 'adminArea4': 'New Haven Co.', 'adminArea5': 'Wallingford', 'streetAddress': '22 Meadow St', 'postalCode': '06492', 'formattedAddress': '22 Meadow St, Wallingford, CT 06492'}, 'coords': [-72.823155, 41.457042]}",LLsZjlcuRXaVDgZhOA3Z8w,"{'name': 'English', 'nativeName': 'English', 'code': 'en'}",unknown,temporary,2014-02-11T12:11:00.000Z,22736-4036,ushahidi,"rock salt , plows &  four wheel drive","[{'name': 'Grateful!', 'confidence': 1}, {'name': 'Thank You!', 'confidence': 1}]",2014-05-09 19:09:12.048866,United States,CT,New Haven Co.,Wallingford,"22 Meadow St, Wallingford, CT 06492",06492,22 Meadow St,"{'adminArea3': 'CT', 'adminArea1': 'United States', 'adminArea4': 'New Haven Co.', 'adminArea5': 'Wallingford', 'streetAddress': '22 Meadow St', 'postalCode': '06492', 'formattedAddress': '22 Meadow St, Wallingford, CT 06492'}","[-72.823155, 41.457042]",41.457042,-72.823155,Grateful!,Thank You!,,en
2014-05-09 19:09:12.297966,Chirping birds by my window,2014-05-04T05:05:23.115566,,"{'addressComponents': {'adminArea3': 'PA', 'adminArea1': 'United States', 'adminArea4': 'Allegheny Co.', 'adminArea5': 'Pittsburgh', 'streetAddress': '1848 McLaughlin Run Rd', 'postalCode': '15241', 'formattedAddress': '1848 McLaughlin Run Rd, Pittsburgh, PA 15241'}, 'coords': [-80.071854, 40.333646]}",71QIDljFSVOX2BYU2GV4cA,"{'name': 'English', 'nativeName': 'English', 'code': 'en'}",unknown,temporary,2014-02-11T12:03:00.000Z,22736-4035,ushahidi,Chirping birds by my window,"[{'name': 'Grateful!', 'confidence': 1}]",2014-05-09 19:09:12.297966,United States,PA,Allegheny Co.,Pittsburgh,"1848 McLaughlin Run Rd, Pittsburgh, PA 15241",15241,1848 McLaughlin Run Rd,"{'adminArea3': 'PA', 'adminArea1': 'United States', 'adminArea4': 'Allegheny Co.', 'adminArea5': 'Pittsburgh', 'streetAddress': '1848 McLaughlin Run Rd', 'postalCode': '15241', 'formattedAddress': '1848 McLaughlin Run Rd, Pittsburgh, PA 15241'}","[-80.071854, 40.333646]",40.333646,-80.071854,Grateful!,,,en
2014-05-09 19:09:12.964525,Also noticed tonight on my way home the days are getting longer yayay Spring is on the way!!!!!,2014-05-04T05:05:34.645537,,"{'addressComponents': {'adminArea3': 'PA', 'adminArea1': 'United States', 'adminArea4': 'Franklin Co.', 'adminArea5': 'Waynesboro', 'streetAddress': 'Buchanan Trail E & Virginia Ave & Roadside Ave', 'postalCode': '17268', 'formattedAddress': 'Buchanan Trail E & Virginia Ave & Roadside Ave, Waynesboro, PA 17268'}, 'coords': [-77.57057, 39.751841]}",XO1M4zZ1S-qwgQ2OMXRY3A,"{'name': 'English', 'nativeName': 'English', 'code': 'en'}",unknown,temporary,2014-02-11T11:55:00.000Z,22736-4034,ushahidi,Days are getting longer,"[{'name': 'Grateful!', 'confidence': 1}]",2014-05-09 19:09:12.964525,United States,PA,Franklin Co.,Waynesboro,"Buchanan Trail E & Virginia Ave & Roadside Ave, Waynesboro, PA 17268",17268,Buchanan Trail E & Virginia Ave & Roadside Ave,"{'adminArea3': 'PA', 'adminArea1': 'United States', 'adminArea4': 'Franklin Co.', 'adminArea5': 'Waynesboro', 'streetAddress': 'Buchanan Trail E & Virginia Ave & Roadside Ave', 'postalCode': '17268', 'formattedAddress': 'Buchanan Trail E & Virginia Ave & Roadside Ave, Waynesboro, PA 17268'}","[-77.57057, 39.751841]",39.751841,-77.57057,Grateful!,,,en
